ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_1217	0.0	0.0	0.0	0.7	0.0
ASV_1234	2.7	0.3	0.0	0.0	0.0
ASV_1249	0.0	0.0	0.0	0.0	0.3
ASV_1276	0.3	0.0	1.0	0.0	0.0
ASV_1288	0.0	0.0	0.0	0.3	0.0
ASV_1301	0.0	0.0	0.0	0.0	1.0
ASV_1306	2.3	0.0	0.0	0.0	0.0
ASV_1316	0.0	0.0	0.0	0.3	0.0
ASV_1318	0.0	0.0	0.0	11.7	0.0
ASV_1341	0.0	0.0	0.0	1.0	0.0
ASV_1349	0.0	0.0	0.0	5.3	0.0
ASV_1376	0.0	0.0	0.0	10.3	0.0
ASV_1389	0.0	0.0	25.3	0.0	0.0
ASV_1407	13.7	9.0	8.7	0.0	0.0
ASV_1418	0.0	0.0	0.0	2.0	0.0
ASV_1419	0.0	1.0	0.0	0.0	0.0
ASV_1421	0.0	1.3	0.0	0.0	0.0
ASV_1460	0.0	0.0	0.0	0.0	1.3
ASV_1464	0.0	39.3	0.7	0.0	0.0
ASV_1465	153.7	0.0	0.0	12.7	0.0
ASV_1470	0.0	0.0	0.0	0.0	0.3
ASV_1471	0.0	0.0	0.0	0.3	0.0
ASV_1473	0.0	4.7	0.0	0.0	0.0
ASV_1494	0.0	0.0	0.0	1.0	0.0
ASV_1495	0.0	0.0	0.0	0.3	0.0
ASV_1500	0.3	0.0	0.0	0.0	0.0
ASV_1505	1.7	0.3	0.0	0.0	0.0
ASV_1509	23.7	7.7	0.3	0.0	0.0
ASV_1515	0.0	0.0	0.0	0.3	19.3
ASV_1528	0.0	6.0	4.3	0.0	0.0
ASV_1529	0.0	0.0	0.3	0.0	0.0
ASV_1556	0.0	0.0	0.0	0.0	1.0
ASV_1582	0.0	13.0	30.3	6.7	0.0
ASV_1606	0.0	0.0	0.0	0.0	0.3
ASV_1621	0.0	0.0	0.0	0.0	0.7
ASV_1652	0.7	0.3	0.0	0.0	0.0
ASV_1695	0.0	0.0	0.0	0.0	0.3
ASV_1705	0.0	0.0	0.0	0.3	0.0
ASV_1709	0.7	0.3	0.0	0.0	0.0
ASV_1719	0.0	0.0	2.3	0.7	0.0
ASV_1753	0.0	0.0	0.0	0.0	0.3
ASV_1754	0.7	0.0	0.0	0.0	0.0
ASV_1763	0.3	0.0	0.0	0.0	0.0
ASV_1766	0.0	0.0	0.0	0.7	0.0
ASV_1780	0.0	0.0	0.0	2.3	0.3
ASV_1791	0.0	0.3	0.0	0.0	0.0
ASV_1814	0.0	0.0	0.0	0.0	0.3
ASV_1816	0.0	0.0	0.0	0.7	42.0
ASV_1822	0.0	0.0	0.0	6.0	15.7
ASV_1829	0.3	0.0	0.0	0.0	0.0
ASV_1833	0.0	0.7	0.0	0.0	0.0
ASV_1843	0.0	0.0	0.3	0.0	0.0
ASV_1855	0.0	0.0	0.0	0.0	0.3
ASV_1869	0.0	0.0	0.0	0.3	0.0
ASV_1887	0.0	0.0	0.0	0.7	0.3
ASV_1895	2.0	0.7	0.0	0.0	0.0
ASV_1903	0.0	0.0	0.0	1.0	0.0
ASV_1910	0.0	0.0	0.0	0.0	0.3
ASV_1916	0.0	0.0	0.0	0.0	0.3
ASV_1936	0.0	0.0	0.0	0.7	0.0
ASV_1963	0.0	0.0	0.0	0.0	0.3
ASV_1975	0.0	0.0	0.0	0.0	1.3
ASV_1991	0.0	0.0	0.0	2.0	0.0
ASV_1992	0.0	0.0	1.3	0.0	0.0
ASV_1996	0.0	0.0	0.0	0.0	0.3
ASV_1997	0.0	0.0	0.0	0.0	2.0
ASV_2003	0.0	0.0	0.0	2.0	0.0
ASV_2016	7.7	0.0	0.0	0.0	0.0
ASV_2025	2.0	0.7	1.0	0.0	0.0
ASV_2029	1.3	0.0	0.0	0.0	0.0
ASV_2035	5.0	0.0	0.0	0.0	0.0
ASV_2041	0.0	0.0	0.0	7.0	7.7
ASV_2047	0.0	0.0	0.0	1.0	0.0
ASV_2062	0.0	20.0	1.7	0.0	0.0
ASV_2072	0.3	0.0	0.0	0.0	0.0
ASV_2087	0.0	0.0	0.0	0.0	2.7
ASV_2116	0.0	0.0	0.0	0.3	0.0
ASV_2122	0.7	4.3	13.7	0.7	0.0
ASV_2123	0.0	0.3	0.0	0.0	0.0
ASV_2130	0.0	1.0	0.0	0.0	0.0
ASV_2142	2.3	0.0	0.0	0.0	0.0
ASV_2151	1.0	0.3	0.0	0.0	0.0
ASV_2177	0.0	0.0	0.0	0.7	0.0
ASV_2182	0.0	0.0	0.0	0.3	0.0
