ASVs	hdpe	wood	tw	water3	water02
ASV_5180	0.13	0.00	0.00	0.00	0.00
ASV_5182	0.00	0.00	0.00	0.04	0.00
ASV_5184	0.00	0.00	0.00	0.04	0.00
ASV_5185	0.00	0.20	0.07	0.00	0.00
ASV_5187	0.07	0.00	0.00	0.00	0.00
ASV_5189	0.07	0.00	0.00	0.00	0.00
ASV_5190	0.00	0.00	0.07	0.00	0.00
ASV_5191	0.07	0.00	0.00	0.00	0.00
ASV_5192	0.47	0.00	0.00	0.00	0.00
ASV_5193	0.00	0.07	0.07	0.00	0.00
ASV_5194	0.07	0.00	0.00	0.00	0.00
ASV_5196	0.00	0.00	0.20	0.00	0.00
ASV_5199	0.40	0.07	0.13	0.00	0.00
ASV_5200	0.00	0.00	0.00	0.15	0.44
ASV_5201	0.00	0.00	0.00	0.07	0.00
ASV_5202	0.00	0.00	0.00	0.04	0.00
ASV_5204	0.07	0.00	0.00	0.00	0.00
ASV_5205	0.00	0.00	0.00	0.04	0.00
ASV_5207	0.00	0.00	0.00	0.04	0.00
ASV_5208	0.00	0.20	0.00	0.00	0.00
ASV_5209	0.00	0.00	0.00	0.04	0.00
ASV_5210	0.13	0.00	0.00	0.00	0.00
ASV_5212	0.00	0.00	0.00	0.07	0.00
ASV_5214	0.07	0.00	0.00	0.00	0.00
ASV_5215	0.00	0.27	0.00	0.00	0.00
ASV_5216	0.20	0.00	0.00	0.00	0.00
ASV_5218	0.00	0.00	0.00	0.07	0.00
ASV_5219	0.00	0.00	0.00	0.04	0.00
ASV_5221	0.07	0.00	0.13	0.00	0.00
ASV_5223	0.00	0.00	0.00	0.00	0.04
ASV_5226	0.07	0.00	0.00	0.00	0.00
ASV_5227	0.80	0.80	0.67	0.22	0.00
ASV_5228	0.00	0.00	0.00	0.04	0.00
ASV_5230	0.00	0.00	0.00	0.00	0.04
ASV_5231	0.13	0.00	0.00	0.00	0.00
ASV_5232	0.00	0.00	0.00	0.11	0.00
ASV_5233	0.00	0.00	0.00	0.00	0.04
ASV_5234	0.00	0.00	0.00	0.07	0.00
ASV_5237	0.00	0.00	0.00	0.07	0.00
ASV_5238	0.13	0.00	0.00	0.11	0.00
ASV_5239	0.13	0.00	0.00	0.00	0.00
ASV_5240	0.00	0.00	0.07	0.00	0.00
ASV_5241	0.00	0.00	0.00	0.04	0.00
ASV_5242	0.00	0.00	0.00	0.04	0.00
ASV_5243	0.00	0.00	0.00	0.04	0.00
ASV_5244	0.00	0.00	0.00	0.04	0.00
ASV_5245	0.00	0.00	0.00	0.07	0.00
ASV_5246	0.00	0.20	0.00	0.00	0.00
ASV_5247	0.07	0.00	0.00	0.00	0.00
ASV_5248	0.13	0.00	0.00	0.00	0.00
ASV_5249	0.07	0.00	0.00	0.00	0.00
ASV_5250	0.00	0.00	0.07	0.00	0.00
ASV_5251	0.00	0.00	0.00	0.04	0.00
ASV_5253	0.00	0.00	0.13	0.00	0.00
ASV_5254	0.00	0.20	0.20	0.00	0.00
ASV_5255	0.00	0.00	0.00	0.44	0.67
ASV_5256	0.07	0.00	0.00	0.00	0.00
ASV_5259	0.13	0.00	0.00	0.00	0.00
ASV_5260	0.00	0.00	0.00	0.04	0.00
ASV_5263	0.73	0.20	0.00	0.00	0.00
ASV_5265	0.00	0.00	0.00	0.00	0.04
ASV_5269	0.00	0.07	0.00	0.00	0.00
ASV_5270	0.00	0.07	0.00	0.00	0.00
ASV_5271	0.00	0.00	0.00	0.15	0.37
ASV_5272	0.00	0.07	0.00	0.00	0.00
ASV_5273	0.00	0.07	0.00	0.00	0.00
ASV_5275	0.00	0.00	0.00	0.11	0.19
ASV_5276	0.00	0.00	0.00	0.04	0.00
ASV_5277	0.00	0.00	0.00	0.07	0.00
ASV_5278	0.07	0.00	0.00	0.00	0.00
ASV_5280	0.00	0.07	0.13	0.00	0.00
ASV_5281	0.00	0.00	0.00	0.04	0.00
ASV_5283	0.00	0.07	0.00	0.00	0.00
ASV_5284	0.07	0.00	0.00	0.19	0.00
ASV_5287	0.13	0.00	0.00	0.04	0.00
ASV_5288	0.00	0.07	0.00	0.00	0.00
ASV_5289	0.00	0.00	0.00	0.00	0.04
ASV_5290	0.00	0.07	0.00	0.00	0.00
ASV_5291	0.00	0.00	0.00	0.07	0.26
ASV_5292	0.00	0.00	0.00	0.04	0.19
ASV_5293	0.00	0.07	0.07	0.11	0.00
ASV_5294	0.00	0.00	0.00	0.04	0.00
ASV_5295	0.00	0.00	0.00	0.04	0.00
ASV_5296	0.00	0.00	0.00	0.04	0.00
ASV_5297	0.47	0.00	0.00	0.00	0.00
ASV_5298	0.07	0.00	0.00	0.00	0.00
ASV_5299	0.00	0.00	0.00	0.33	0.33
ASV_5300	0.00	0.00	0.00	0.11	0.04
ASV_5301	0.00	0.00	0.00	0.04	0.00
ASV_5302	0.33	0.00	0.07	0.00	0.00
ASV_5304	0.00	0.20	0.00	0.00	0.00
ASV_5305	0.20	0.00	0.00	0.00	0.00
ASV_5307	0.00	0.13	0.00	0.00	0.00
ASV_5308	0.00	0.00	0.00	0.07	0.00
ASV_5310	0.00	0.00	0.00	0.04	0.00
ASV_5311	0.00	0.00	0.00	0.00	0.04
ASV_5312	0.00	0.00	0.00	0.00	0.04
ASV_5313	0.07	0.00	0.00	0.19	0.00
ASV_5314	0.07	0.00	0.00	0.00	0.00
ASV_5315	0.00	0.00	0.00	0.04	0.00
ASV_5316	0.00	0.00	0.00	0.04	0.00
ASV_5317	0.07	0.00	0.00	0.11	0.00
ASV_5318	0.00	0.00	0.00	0.00	0.07
ASV_5320	0.73	0.00	0.07	0.00	0.00
ASV_5321	0.00	0.00	0.00	0.11	0.00
ASV_5323	0.00	0.00	0.00	0.00	0.04
ASV_5324	0.00	0.00	0.00	0.00	0.22
ASV_5328	0.00	0.00	0.00	0.04	0.00
ASV_5329	0.07	0.07	0.20	0.22	0.00
ASV_5330	0.00	0.00	0.00	0.15	0.37
ASV_5331	0.00	0.00	0.00	0.00	0.07
ASV_5333	0.00	0.00	0.00	0.07	0.00
ASV_5335	0.00	0.07	0.00	0.00	0.00
ASV_5336	0.00	0.00	0.00	0.04	0.00
ASV_5337	0.00	0.00	0.00	0.11	0.00
ASV_5338	0.00	0.00	0.00	0.00	0.04
ASV_5339	0.07	0.00	0.00	0.00	0.00
ASV_5340	0.00	0.33	0.00	0.15	0.00
ASV_5341	0.07	0.00	0.00	0.00	0.00
ASV_5342	0.13	0.00	0.00	0.00	0.00
ASV_5343	0.13	0.07	0.00	0.00	0.00
ASV_5345	0.60	0.53	0.13	0.00	0.00
ASV_5346	0.00	0.07	0.00	0.00	0.00
ASV_5347	0.00	0.00	0.07	0.00	0.00
ASV_5351	0.07	0.00	0.00	0.00	0.00
ASV_5352	0.00	0.00	0.00	0.04	0.00
ASV_5353	0.27	0.00	0.07	0.00	0.00
ASV_5354	0.00	0.73	0.00	0.00	0.00
ASV_5355	0.00	0.07	0.00	0.00	0.00
ASV_5356	0.00	0.00	0.00	0.11	0.04
ASV_5357	0.00	0.00	0.00	0.00	0.04
ASV_5358	0.00	0.00	0.07	0.00	0.00
ASV_5360	0.00	0.00	0.00	0.00	0.04
ASV_5363	0.00	0.00	0.00	0.00	0.04
ASV_5365	0.00	0.20	0.00	0.00	0.00
ASV_5366	0.07	0.00	0.00	0.00	0.00
ASV_5367	0.00	0.20	0.07	0.00	0.00
ASV_5370	0.00	0.00	0.00	0.04	0.00
ASV_5371	0.00	0.00	0.00	0.04	0.00
ASV_5372	0.00	0.00	0.00	0.00	0.07
ASV_5373	0.00	0.13	0.00	0.00	0.00
ASV_5374	0.00	0.13	0.00	0.00	0.00
ASV_5375	0.13	0.13	0.00	0.15	0.00
ASV_5376	0.07	0.00	0.00	0.00	0.00
ASV_5379	0.00	0.00	0.00	0.00	0.04
ASV_5380	0.20	0.07	0.00	0.00	0.00
ASV_5381	0.07	0.00	0.00	0.00	0.00
ASV_5382	0.00	0.07	0.00	0.00	0.00
ASV_5383	0.00	0.00	0.13	0.00	0.00
ASV_5384	0.00	0.00	0.07	0.00	0.00
ASV_5385	0.00	0.00	0.00	0.07	0.00
ASV_5386	0.00	0.00	0.00	0.04	0.00
ASV_5387	0.00	0.00	0.00	0.04	0.00
ASV_5388	0.00	0.00	0.00	0.04	0.00
ASV_5389	0.00	0.00	0.00	0.04	0.00
ASV_5390	0.00	0.00	0.00	0.11	0.00
ASV_5392	0.00	0.00	0.00	0.04	0.00
ASV_5393	0.00	0.00	0.00	0.04	0.00
ASV_5394	0.07	0.00	0.00	0.00	0.00
ASV_5395	0.00	0.00	0.00	0.00	0.04
ASV_5396	0.13	0.00	0.00	0.00	0.00
ASV_5398	0.07	0.00	0.00	0.00	0.00
ASV_5399	0.00	0.00	0.00	0.07	0.04
ASV_5400	0.00	0.07	0.00	0.00	0.00
ASV_5402	0.00	0.00	0.00	0.04	0.00
ASV_5404	0.00	0.07	0.00	0.00	0.00
ASV_5405	0.00	0.07	0.00	0.00	0.00
ASV_5408	0.13	0.00	0.00	0.00	0.00
ASV_5409	0.00	0.00	0.00	0.04	0.04
ASV_5410	0.00	0.07	0.00	0.00	0.00
ASV_5412	0.00	0.00	0.47	0.00	0.00
ASV_5414	0.00	0.00	0.00	0.11	0.22
ASV_5415	0.00	0.00	0.07	0.00	0.00
ASV_5422	0.00	0.00	0.00	0.07	0.00
ASV_5423	0.00	0.00	0.13	0.00	0.00
ASV_5424	0.00	0.00	0.00	0.11	0.11
ASV_5426	0.13	0.00	0.00	0.00	0.00
ASV_5427	0.13	0.00	0.00	0.00	0.00
ASV_5428	0.13	0.00	0.00	0.00	0.00
ASV_5429	0.00	0.00	0.00	0.11	0.00
ASV_5431	0.00	0.00	0.00	0.04	0.00
ASV_5434	0.07	0.13	0.00	0.00	0.00
ASV_5435	0.00	0.00	0.07	0.00	0.00
ASV_5436	0.47	0.00	0.00	0.00	0.00
ASV_5437	0.00	0.00	0.00	0.04	0.00
ASV_5438	0.20	0.00	0.00	0.00	0.00
ASV_5440	0.00	0.00	0.00	0.04	0.00
ASV_5442	0.07	0.00	0.00	0.00	0.00
ASV_5443	0.07	0.00	0.00	0.22	0.00
ASV_5444	0.07	0.00	0.00	0.15	0.00
ASV_5445	0.00	0.07	0.00	0.00	0.00
ASV_5446	0.00	0.00	0.00	0.19	0.00
ASV_5447	0.07	0.00	0.07	0.00	0.00
ASV_5451	0.00	0.00	0.07	0.00	0.00
ASV_5452	0.00	0.00	0.00	0.04	0.00
ASV_5453	0.00	0.00	0.00	0.00	0.15
ASV_5454	0.07	0.00	0.00	0.00	0.00
ASV_5455	0.00	0.00	0.00	0.07	0.00
ASV_5456	0.00	0.07	0.00	0.00	0.00
ASV_5457	0.00	0.00	0.07	0.00	0.00
ASV_5460	0.13	0.00	0.00	0.04	0.00
ASV_5461	0.00	0.00	0.00	0.04	0.00
ASV_5462	0.00	0.20	0.07	0.00	0.00
ASV_5464	0.00	0.00	0.00	0.04	0.00
ASV_5465	0.00	0.20	0.00	0.00	0.00
ASV_5467	0.00	0.20	0.00	0.00	0.00
ASV_5469	0.07	0.00	0.00	0.07	0.00
ASV_5470	0.07	0.00	0.00	0.00	0.00
ASV_5471	0.20	0.33	0.13	0.78	0.00
ASV_5472	0.00	0.00	0.00	0.11	0.00
ASV_5473	0.00	0.00	0.00	0.07	0.04
ASV_5476	0.13	0.00	0.00	0.00	0.00
ASV_5477	0.67	0.00	0.00	0.00	0.00
ASV_5478	0.00	0.00	0.00	0.07	0.33
ASV_5480	0.00	0.13	0.00	0.00	0.00
ASV_5481	0.00	0.00	0.00	0.15	0.00
ASV_5482	0.00	0.00	0.00	0.04	0.00
ASV_5483	0.00	0.00	0.00	0.04	0.00
ASV_5484	0.00	0.00	0.00	0.11	0.07
ASV_5485	0.00	0.00	0.00	0.07	0.00
ASV_5486	0.00	0.00	0.00	0.04	0.00
ASV_5487	0.00	0.00	0.00	0.00	0.11
ASV_5488	0.00	0.00	0.00	0.04	0.15
ASV_5490	0.00	0.00	0.00	0.04	0.00
ASV_5491	0.40	0.07	0.20	0.11	0.00
ASV_5492	0.00	0.00	0.00	0.15	0.00
ASV_5493	0.20	0.00	0.00	0.00	0.00
ASV_5494	0.13	0.00	0.00	0.33	0.00
ASV_5495	0.07	0.00	0.00	0.15	0.00
ASV_5496	0.67	0.07	0.20	0.00	0.00
ASV_5497	0.00	0.00	0.00	0.04	0.00
ASV_5498	0.00	0.00	0.07	0.00	0.00
ASV_5499	0.00	0.00	0.00	0.07	0.00
ASV_5502	0.00	0.00	0.00	0.04	0.00
ASV_5503	0.07	0.00	0.07	0.00	0.00
ASV_5505	0.00	0.13	0.00	0.00	0.00
ASV_5506	0.00	0.00	0.00	0.04	0.00
ASV_5507	0.00	0.00	0.00	0.04	0.00
ASV_5509	0.13	0.20	0.00	0.04	0.00
ASV_5510	0.00	0.13	0.00	0.00	0.00
ASV_5512	0.60	0.00	0.00	0.00	0.00
ASV_5513	0.00	0.00	0.00	0.07	0.00
ASV_5514	0.00	0.07	0.00	0.00	0.00
ASV_5515	0.00	0.00	0.00	0.04	0.07
ASV_5516	0.07	0.00	0.00	0.00	0.00
ASV_5517	0.00	0.00	0.00	0.04	0.00
ASV_5518	0.00	0.00	0.00	0.04	0.04
ASV_5519	0.00	0.00	0.00	0.04	0.00
ASV_5520	0.33	0.00	0.00	0.04	0.00
ASV_5521	0.00	0.07	0.00	0.00	0.00
ASV_5523	0.00	0.07	0.00	0.00	0.00
ASV_5524	0.07	0.00	0.00	0.00	0.00
ASV_5525	0.00	0.00	0.00	0.04	0.00
ASV_5526	0.00	0.00	0.00	0.00	0.15
ASV_5527	0.00	0.00	0.00	0.04	0.00
ASV_5529	0.00	0.00	0.00	0.04	0.00
ASV_5530	0.00	0.00	0.00	0.04	0.00
ASV_5531	0.00	0.00	0.00	0.22	0.19
ASV_5534	0.07	0.00	0.00	0.00	0.00
ASV_5536	0.00	0.00	0.00	0.04	0.00
ASV_5537	0.00	0.20	0.00	0.00	0.00
ASV_5538	0.07	0.00	0.00	0.00	0.00
ASV_5542	0.13	0.00	0.07	0.00	0.00
ASV_5544	0.00	0.07	0.00	0.00	0.00
ASV_5545	0.07	0.00	0.00	0.11	0.15
ASV_5546	0.00	0.00	0.00	0.15	0.30
ASV_5548	0.07	0.00	0.00	0.00	0.00
ASV_5549	0.00	0.07	0.00	0.00	0.00
ASV_5550	0.00	0.00	0.00	0.15	0.30
ASV_5551	0.00	0.00	0.00	0.04	0.00
ASV_5553	0.00	0.07	0.00	0.00	0.00
ASV_5555	0.07	0.00	0.00	0.00	0.00
ASV_5556	0.00	0.00	0.00	0.04	0.00
ASV_5558	0.07	0.00	0.00	0.22	0.33
ASV_5559	0.20	0.00	0.00	0.00	0.00
ASV_5563	0.00	0.00	0.00	0.00	0.11
ASV_5564	0.00	0.60	0.00	0.00	0.00
ASV_5565	0.27	0.00	0.33	0.00	0.00
ASV_5566	0.00	0.20	0.00	0.00	0.00
ASV_5568	0.07	0.00	0.00	0.00	0.00
ASV_5569	0.33	0.00	0.00	0.00	0.00
ASV_5570	0.00	0.00	0.00	0.00	0.04
ASV_5572	0.00	0.13	0.00	0.00	0.00
ASV_5573	0.00	0.00	0.00	0.04	0.00
ASV_5574	0.00	0.00	0.00	0.00	0.04
ASV_5575	0.07	0.20	0.07	0.00	0.00
ASV_5576	0.00	0.07	0.00	0.00	0.00
ASV_5577	0.00	0.20	0.00	0.00	0.00
ASV_5579	0.00	0.00	0.00	0.11	0.22
ASV_5580	0.00	0.00	0.00	0.00	0.11
ASV_5582	0.00	0.80	0.00	0.00	0.00
ASV_5583	0.27	0.00	0.00	0.00	0.00
ASV_5586	0.00	0.00	0.00	0.04	0.00
ASV_5588	0.07	0.07	0.00	0.00	0.00
ASV_5589	0.00	0.00	0.00	0.00	0.04
ASV_5590	0.00	0.00	0.00	0.04	0.00
ASV_5591	0.27	0.47	0.33	0.04	0.00
ASV_5592	0.07	0.00	0.00	0.00	0.00
ASV_5594	0.00	0.00	0.00	0.00	0.11
ASV_5595	0.00	0.00	0.00	0.07	0.07
ASV_5596	0.07	0.00	0.00	0.00	0.00
ASV_5597	0.00	0.00	0.00	0.04	0.00
ASV_5598	0.00	0.00	0.00	0.04	0.00
ASV_5599	0.40	0.00	0.20	0.00	0.00
ASV_5600	0.00	0.00	0.00	0.11	0.44
ASV_5601	0.00	0.00	0.00	0.00	0.04
ASV_5602	0.00	0.00	0.00	0.04	0.00
ASV_5603	0.07	0.00	0.00	0.00	0.00
ASV_5604	0.00	0.00	0.00	0.07	0.00
ASV_5605	0.00	0.00	0.00	0.04	0.00
ASV_5606	0.27	0.00	0.00	0.00	0.00
ASV_5607	0.20	0.00	0.00	0.15	0.00
ASV_5609	0.07	0.07	0.00	0.00	0.00
ASV_5610	0.00	0.00	0.00	0.04	0.00
ASV_5611	0.00	0.00	0.00	0.15	0.22
ASV_5612	0.00	0.00	0.00	0.00	0.07
ASV_5613	0.00	0.00	0.00	0.04	0.00
ASV_5615	0.00	0.00	0.00	0.04	0.00
ASV_5616	0.53	0.00	0.00	0.07	0.00
ASV_5618	0.00	0.00	0.00	0.04	0.00
ASV_5619	0.00	0.07	0.00	0.00	0.00
ASV_5620	0.20	0.00	0.00	0.00	0.00
ASV_5623	0.00	0.00	0.07	0.00	0.00
ASV_5624	0.00	0.07	0.07	0.00	0.00
ASV_5626	0.00	0.00	0.07	0.00	0.00
ASV_5628	0.00	0.00	0.00	0.04	0.00
ASV_5630	0.00	0.00	0.13	0.00	0.00
ASV_5631	0.00	0.00	0.13	0.00	0.00
ASV_5632	0.00	0.00	0.00	0.04	0.00
ASV_5633	0.00	0.07	0.00	0.00	0.00
ASV_5634	0.00	0.00	0.00	0.04	0.00
ASV_5635	0.07	0.00	0.00	0.00	0.00
ASV_5637	0.00	0.00	0.00	0.04	0.00
ASV_5638	0.00	0.00	0.07	0.00	0.00
ASV_5640	0.07	0.00	0.00	0.00	0.00
ASV_5641	0.07	0.00	0.00	0.00	0.00
ASV_5644	0.00	0.00	0.00	0.00	0.04
ASV_5645	0.00	0.00	0.00	0.04	0.00
ASV_5646	0.33	0.00	0.07	0.00	0.00
ASV_5647	0.00	0.00	0.00	0.00	0.07
ASV_5649	0.00	0.00	0.00	0.07	0.00
ASV_5650	0.00	0.00	0.00	0.04	0.00
ASV_5651	0.00	0.00	0.00	0.04	0.00
ASV_5652	0.00	0.00	0.00	0.04	0.11
ASV_5654	0.00	0.00	0.00	0.04	0.00
ASV_5656	0.00	0.00	0.00	0.07	0.00
ASV_5659	0.13	0.00	0.00	0.00	0.00
ASV_5660	0.00	0.00	0.00	0.04	0.00
ASV_5661	0.33	0.00	0.00	0.00	0.00
ASV_5662	0.07	0.00	0.00	0.00	0.00
ASV_5663	0.00	0.00	0.00	0.00	0.11
ASV_5664	0.00	0.00	0.00	0.04	0.00
ASV_5665	0.00	0.00	0.00	0.15	0.00
ASV_5666	0.00	0.00	0.00	0.00	0.04
ASV_5668	0.00	0.00	0.00	0.00	0.07
ASV_5669	0.07	0.00	0.00	0.00	0.00
ASV_5670	0.00	0.33	0.00	0.00	0.00
ASV_5671	0.27	0.00	0.00	0.26	0.00
ASV_5672	0.00	0.00	0.00	0.04	0.00
ASV_5674	0.00	0.00	0.00	0.04	0.00
ASV_5677	0.00	0.00	0.00	0.07	0.00
ASV_5678	0.07	0.00	0.00	0.00	0.00
ASV_5680	0.00	0.00	0.00	0.04	0.00
ASV_5681	0.00	0.07	0.40	0.00	0.00
ASV_5682	0.00	0.07	0.00	0.00	0.00
ASV_5683	0.13	0.00	0.07	0.00	0.00
ASV_5684	0.00	0.00	0.00	0.04	0.00
ASV_5685	0.07	0.00	0.00	0.00	0.00
ASV_5686	0.07	0.00	0.00	0.00	0.00
ASV_5687	0.00	0.00	0.00	0.04	0.00
ASV_5689	0.00	0.80	0.00	0.00	0.00
ASV_5690	0.00	0.00	0.00	0.04	0.00
ASV_5692	0.00	0.00	0.00	0.04	0.00
ASV_5694	0.00	0.00	0.00	0.00	0.04
ASV_5695	0.00	0.07	0.00	0.00	0.00
ASV_5696	0.20	0.07	0.00	0.00	0.00
ASV_5698	0.07	0.00	0.00	0.00	0.00
ASV_5699	0.07	0.00	0.00	0.00	0.00
ASV_5700	0.00	0.00	0.00	0.11	0.00
ASV_5702	0.33	0.27	0.00	0.30	0.04
ASV_5703	0.00	0.00	0.07	0.04	0.00
ASV_5704	0.07	0.00	0.00	0.00	0.00
ASV_5706	0.00	0.07	0.00	0.00	0.00
ASV_5708	0.07	0.00	0.20	0.04	0.00
ASV_5709	0.13	0.00	0.00	0.00	0.00
ASV_5710	0.00	0.00	0.00	0.04	0.00
ASV_5712	0.00	0.00	0.00	0.15	0.04
ASV_5713	0.07	0.00	0.00	0.00	0.00
ASV_5714	0.00	0.00	0.00	0.04	0.00
ASV_5716	0.07	0.00	0.00	0.00	0.00
ASV_5717	0.47	0.00	0.00	0.00	0.00
ASV_5719	0.07	0.00	0.07	0.19	0.00
ASV_5720	0.00	0.00	0.00	0.04	0.00
ASV_5721	0.00	0.00	0.00	0.07	0.00
ASV_5722	0.00	0.07	0.00	0.00	0.00
ASV_5723	0.00	0.00	0.00	0.04	0.00
ASV_5726	0.00	0.07	0.00	0.00	0.00
ASV_5727	0.00	0.00	0.60	0.00	0.00
ASV_5728	0.00	0.00	0.00	0.19	0.00
ASV_5729	0.00	0.00	0.00	0.00	0.04
ASV_5730	0.13	0.00	0.00	0.00	0.00
ASV_5732	0.00	0.00	0.00	0.00	0.04
ASV_5733	0.00	0.00	0.00	0.00	0.04
ASV_5734	0.00	0.00	0.00	0.07	0.00
ASV_5735	0.00	0.07	0.13	0.00	0.00
ASV_5736	0.27	0.00	0.00	0.00	0.00
ASV_5737	0.00	0.00	0.00	0.04	0.00
ASV_5738	0.00	0.00	0.07	0.00	0.00
ASV_5739	0.00	0.00	0.00	0.19	0.00
ASV_5740	0.07	0.00	0.00	0.26	0.00
ASV_5741	0.13	0.00	0.00	0.15	0.00
ASV_5742	0.20	0.07	0.00	0.00	0.00
ASV_5744	0.00	0.00	0.00	0.04	0.00
ASV_5746	0.00	0.00	0.00	0.04	0.00
ASV_5749	0.00	0.00	0.00	0.04	0.00
ASV_5750	0.07	0.00	0.00	0.07	0.00
ASV_5751	0.00	0.00	0.00	0.52	0.67
ASV_5752	0.00	0.00	0.00	0.04	0.00
ASV_5753	0.00	0.00	0.00	0.11	0.07
ASV_5754	0.00	0.00	0.00	0.04	0.00
ASV_5757	0.07	0.00	0.00	0.00	0.00
ASV_5758	0.07	0.00	0.00	0.00	0.00
ASV_5759	0.00	0.00	0.07	0.00	0.00
ASV_5761	0.20	0.20	0.27	0.00	0.00
ASV_5762	0.00	0.07	0.00	0.00	0.00
ASV_5763	0.00	0.00	0.00	0.04	0.00
ASV_5764	0.00	0.00	0.00	0.00	0.07
ASV_5765	0.20	0.00	0.00	0.00	0.00
ASV_5766	0.00	0.00	0.00	0.07	0.33
ASV_5768	0.00	0.00	0.00	0.04	0.00
ASV_5769	0.00	0.00	0.00	0.04	0.00
ASV_5770	0.00	0.00	0.00	0.00	0.04
ASV_5771	0.07	0.00	0.00	0.00	0.00
ASV_5772	0.20	0.00	0.00	0.11	0.00
ASV_5775	0.00	0.00	0.00	0.41	0.00
ASV_5776	0.00	0.00	0.00	0.04	0.00
ASV_5777	0.00	0.00	0.00	0.04	0.00
ASV_5778	0.13	0.00	0.00	0.11	0.00
ASV_5779	0.00	0.00	0.00	0.04	0.00
ASV_5781	0.07	0.07	0.07	0.00	0.00
ASV_5782	0.33	0.00	0.00	0.11	0.00
ASV_5785	0.00	0.00	0.00	0.04	0.00
ASV_5787	0.00	0.13	0.00	0.00	0.00
ASV_5788	0.00	0.00	0.07	0.00	0.00
ASV_5789	0.00	0.00	0.00	0.07	0.00
ASV_5792	0.00	0.00	0.00	0.04	0.00
ASV_5793	0.00	0.00	0.20	0.00	0.00
ASV_5794	0.53	0.00	0.00	0.00	0.00
ASV_5795	0.13	0.20	0.00	0.04	0.00
ASV_5796	0.00	0.00	0.00	0.07	0.00
ASV_5797	0.00	0.07	0.00	0.00	0.00
ASV_5799	0.00	0.00	0.00	0.00	0.07
ASV_5800	0.13	0.00	0.00	0.00	0.00
ASV_5801	0.00	0.00	0.00	0.19	0.00
ASV_5803	0.00	0.00	0.00	0.04	0.00
ASV_5804	0.33	0.00	0.00	0.00	0.00
ASV_5805	0.00	0.00	0.00	0.04	0.00
ASV_5806	0.00	0.00	0.00	0.04	0.00
ASV_5807	0.00	0.00	0.00	0.04	0.00
ASV_5808	0.00	0.00	0.00	0.04	0.26
ASV_5809	0.00	0.00	0.00	0.11	0.15
ASV_5810	0.00	0.00	0.00	0.04	0.00
ASV_5811	0.00	0.20	0.00	0.00	0.00
ASV_5812	0.27	0.00	0.00	0.00	0.00
ASV_5813	0.00	0.00	0.00	0.11	0.04
ASV_5814	0.07	0.00	0.00	0.00	0.00
ASV_5815	0.00	0.00	0.00	0.19	0.48
ASV_5817	0.00	0.00	0.00	0.04	0.00
ASV_5820	0.00	0.00	0.00	0.04	0.00
ASV_5821	0.20	0.00	0.00	0.00	0.00
ASV_5822	0.00	0.00	0.00	0.04	0.00
ASV_5824	0.07	0.00	0.00	0.00	0.00
ASV_5826	0.13	0.00	0.00	0.00	0.00
ASV_5828	0.00	0.20	0.00	0.00	0.00
ASV_5829	0.00	0.00	0.00	0.19	0.00
ASV_5832	0.07	0.07	0.00	0.00	0.00
ASV_5834	0.00	0.00	0.00	0.04	0.00
ASV_5835	0.07	0.00	0.00	0.00	0.00
ASV_5837	0.07	0.00	0.00	0.00	0.00
ASV_5838	0.00	0.00	0.00	0.22	0.00
ASV_5839	0.00	0.00	0.00	0.07	0.00
ASV_5841	0.00	0.07	0.00	0.00	0.00
ASV_5842	0.07	0.00	0.00	0.00	0.00
ASV_5843	0.00	0.00	0.00	0.04	0.00
ASV_5845	0.27	0.00	0.00	0.00	0.00
ASV_5846	0.07	0.00	0.00	0.00	0.00
ASV_5847	0.00	0.00	0.07	0.00	0.00
ASV_5848	0.07	0.00	0.00	0.00	0.00
ASV_5849	0.33	0.07	0.27	0.15	0.07
ASV_5850	0.00	0.00	0.07	0.00	0.00
ASV_5851	0.00	0.00	0.00	0.04	0.00
ASV_5852	0.00	0.00	0.07	0.00	0.00
ASV_5854	0.00	0.00	0.00	0.07	0.26
ASV_5855	0.07	0.00	0.00	0.00	0.00
ASV_5856	0.00	0.00	0.00	0.04	0.00
ASV_5857	0.40	0.00	0.00	0.11	0.00
ASV_5861	0.00	0.00	0.00	0.04	0.00
ASV_5862	0.00	0.00	0.00	0.04	0.00
ASV_5863	0.13	0.00	0.00	0.00	0.00
ASV_5864	0.00	0.20	0.00	0.00	0.00
ASV_5865	0.00	0.00	0.00	0.07	0.00
ASV_5868	0.20	0.00	0.13	0.00	0.00
ASV_5869	0.00	0.00	0.00	0.11	0.19
ASV_5871	0.00	0.00	0.07	0.00	0.00
ASV_5872	0.00	0.00	0.00	0.00	0.04
ASV_5873	0.00	0.00	0.00	0.04	0.00
ASV_5874	0.00	0.00	0.07	0.00	0.00
ASV_5875	0.07	0.00	0.20	0.00	0.00
ASV_5876	0.00	0.00	0.00	0.00	0.04
ASV_5878	0.07	0.20	0.00	0.00	0.00
ASV_5879	0.67	0.00	0.13	0.00	0.00
ASV_5882	0.33	0.00	0.00	0.15	0.00
ASV_5883	0.27	0.00	0.00	0.00	0.00
ASV_5884	0.20	0.00	0.00	0.00	0.00
ASV_5885	0.33	0.07	0.33	0.00	0.00
ASV_5886	0.20	0.00	0.00	0.00	0.00
ASV_5887	0.00	0.00	0.00	0.04	0.00
