ASVs	hdpe	wood	tw	water3	water02
ASV_209	0.07	0.00	0.00	0.00	0.00
ASV_210	0.07	0.07	0.00	0.00	0.00
ASV_211	0.40	0.00	0.33	0.00	0.00
ASV_213	0.20	0.07	0.07	0.00	0.00
ASV_215	0.00	0.13	0.00	0.00	0.00
ASV_216	0.00	0.00	0.00	0.11	0.00
ASV_218	0.00	0.07	0.00	0.00	0.00
ASV_219	0.00	0.00	0.00	0.07	0.00
ASV_220	0.00	0.00	0.00	0.04	0.00
ASV_221	0.00	0.73	0.00	0.00	0.00
ASV_222	0.00	0.00	0.00	0.04	0.04
ASV_225	0.00	0.00	0.00	0.04	0.00
ASV_226	0.00	0.00	0.00	0.00	0.04
ASV_227	0.00	0.07	0.00	0.00	0.00
ASV_228	0.00	0.00	0.00	0.00	0.04
ASV_229	0.00	0.00	0.00	0.04	0.00
ASV_230	0.07	0.00	0.00	0.00	0.00
ASV_233	0.00	0.00	0.00	0.30	0.48
ASV_234	0.00	0.00	0.00	0.04	0.00
ASV_235	0.00	0.00	0.00	0.22	0.04
ASV_236	0.00	0.00	0.00	0.00	0.07
ASV_237	0.00	0.00	0.00	0.04	0.00
ASV_238	0.00	0.27	0.00	0.00	0.00
ASV_241	0.00	0.00	0.13	0.00	0.00
ASV_244	0.00	0.00	0.00	0.04	0.00
ASV_245	0.47	0.00	0.00	0.00	0.00
ASV_246	0.00	0.00	0.00	0.07	0.00
ASV_247	0.00	0.00	0.00	0.04	0.00
ASV_248	0.13	0.00	0.00	0.00	0.00
ASV_250	0.00	0.53	0.00	0.00	0.00
ASV_251	0.00	0.00	0.20	0.00	0.00
ASV_252	0.00	0.07	0.00	0.00	0.00
ASV_257	0.00	0.07	0.13	0.00	0.00
ASV_258	0.00	0.00	0.00	0.11	0.19
ASV_259	0.00	0.00	0.00	0.04	0.00
ASV_260	0.00	0.20	0.00	0.00	0.00
ASV_261	0.00	0.00	0.00	0.04	0.00
ASV_262	0.07	0.00	0.00	0.00	0.00
ASV_264	0.00	0.00	0.00	0.00	0.07
ASV_266	0.00	0.00	0.00	0.04	0.00
ASV_267	0.00	0.00	0.00	0.04	0.00
ASV_269	0.07	0.00	0.00	0.00	0.00
ASV_270	0.00	0.00	0.00	0.04	0.00
ASV_271	0.00	0.00	0.00	0.11	0.44
ASV_272	0.20	0.00	0.00	0.00	0.00
ASV_274	0.07	0.00	0.00	0.00	0.00
ASV_275	0.07	0.00	0.00	0.00	0.00
ASV_276	0.00	0.00	0.00	0.04	0.00
ASV_277	0.00	0.80	0.00	0.00	0.04
ASV_278	0.00	0.07	0.20	0.00	0.00
ASV_280	0.07	0.00	0.00	0.04	0.00
ASV_281	0.00	0.00	0.00	0.00	0.04
ASV_283	0.07	0.00	0.00	0.00	0.00
ASV_284	0.67	0.00	0.20	0.00	0.00
ASV_285	0.00	0.00	0.00	0.07	0.00
ASV_286	0.00	0.00	0.00	0.04	0.00
ASV_287	0.00	0.00	0.00	0.04	0.00
ASV_288	0.00	0.00	0.00	0.00	0.11
ASV_289	0.00	0.00	0.00	0.04	0.00
ASV_290	0.00	0.00	0.00	0.04	0.00
ASV_291	0.07	0.00	0.00	0.00	0.00
ASV_292	0.00	0.00	0.00	0.04	0.00
ASV_293	0.00	0.00	0.00	0.04	0.00
ASV_294	0.00	0.00	0.00	0.04	0.00
ASV_295	0.07	0.00	0.00	0.04	0.00
ASV_296	0.00	0.00	0.00	0.00	0.04
ASV_299	0.07	0.00	0.00	0.00	0.00
ASV_301	0.00	0.07	0.00	0.00	0.00
ASV_303	0.07	0.00	0.00	0.00	0.00
ASV_304	0.00	0.00	0.00	0.00	0.04
ASV_308	0.07	0.00	0.00	0.11	0.00
ASV_309	0.00	0.00	0.00	0.04	0.00
ASV_310	0.00	0.00	0.00	0.04	0.00
ASV_311	0.33	0.00	0.13	0.00	0.00
ASV_312	0.00	0.00	0.00	0.07	0.11
ASV_313	0.00	0.00	0.00	0.04	0.00
ASV_314	0.40	0.00	0.27	0.04	0.00
ASV_315	0.00	0.00	0.00	0.07	0.15
ASV_317	0.07	0.00	0.00	0.00	0.00
ASV_318	0.00	0.00	0.00	0.04	0.00
ASV_319	0.00	0.00	0.00	0.04	0.00
ASV_320	0.07	0.00	0.00	0.00	0.00
ASV_321	0.00	0.00	0.00	0.04	0.00
ASV_322	0.60	0.07	0.47	0.00	0.00
ASV_323	0.00	0.00	0.00	0.04	0.00
ASV_324	0.00	0.00	0.00	0.00	0.04
ASV_326	0.13	0.00	0.00	0.00	0.00
ASV_327	0.00	0.20	0.00	0.00	0.00
ASV_329	0.00	0.00	0.07	0.00	0.00
ASV_330	0.00	0.00	0.00	0.04	0.00
ASV_331	0.00	0.00	0.00	0.04	0.00
ASV_332	0.00	0.00	0.00	0.04	0.00
ASV_333	0.00	0.00	0.00	0.07	0.00
ASV_336	0.00	0.00	0.00	0.07	0.00
ASV_337	0.00	0.07	0.00	0.00	0.00
ASV_339	0.00	0.00	0.13	0.00	0.00
ASV_341	0.07	0.00	0.00	0.00	0.00
ASV_342	0.00	0.00	0.00	0.00	0.04
ASV_343	0.07	0.20	0.13	0.00	0.00
ASV_344	0.00	0.27	0.00	0.00	0.00
ASV_345	0.00	0.00	0.00	0.07	0.19
ASV_346	0.13	0.13	0.00	0.00	0.00
ASV_347	0.00	0.00	0.00	0.07	0.00
ASV_350	0.07	0.00	0.00	0.04	0.00
ASV_352	0.00	0.00	0.00	0.33	0.00
ASV_353	0.00	0.00	0.00	0.04	0.00
ASV_354	0.00	0.00	0.00	0.26	0.41
ASV_355	0.00	0.13	0.00	0.00	0.00
ASV_356	0.40	0.00	0.00	0.00	0.00
ASV_357	0.00	0.00	0.00	0.04	0.00
ASV_358	0.00	0.00	0.13	0.00	0.00
ASV_359	0.00	0.00	0.00	0.48	0.63
ASV_361	0.00	0.07	0.00	0.00	0.00
ASV_362	0.13	0.00	0.13	0.00	0.00
ASV_363	0.07	0.00	0.00	0.00	0.00
ASV_365	0.00	0.00	0.00	0.04	0.00
ASV_366	0.00	0.00	0.00	0.04	0.00
ASV_367	0.27	0.00	0.20	0.00	0.00
ASV_368	0.00	0.07	0.13	0.00	0.00
ASV_369	0.00	0.20	0.00	0.00	0.00
ASV_370	0.07	0.00	0.00	0.00	0.00
ASV_371	0.00	0.00	0.07	0.00	0.00
ASV_372	0.00	0.07	0.00	0.00	0.00
ASV_373	0.13	0.00	0.07	0.00	0.00
ASV_374	0.00	0.00	0.00	0.07	0.00
ASV_375	0.00	0.00	0.00	0.07	0.00
ASV_376	0.00	0.00	0.00	0.00	0.11
ASV_378	0.00	0.00	0.00	0.11	0.00
ASV_379	0.07	0.00	0.00	0.00	0.00
ASV_380	0.00	0.20	0.20	0.00	0.00
ASV_381	0.00	0.07	0.00	0.00	0.00
ASV_382	0.00	0.00	0.07	0.00	0.00
ASV_383	0.00	0.00	0.00	0.04	0.00
ASV_385	0.00	0.00	0.00	0.04	0.00
ASV_386	0.00	0.13	0.00	0.00	0.00
ASV_387	0.00	0.00	0.00	0.04	0.00
ASV_388	0.00	0.07	0.00	0.15	0.00
ASV_389	0.07	0.00	0.00	0.00	0.00
ASV_394	0.00	0.00	0.00	0.04	0.11
ASV_395	0.00	0.07	0.00	0.00	0.00
ASV_396	0.00	0.00	0.00	0.11	0.11
ASV_397	0.00	0.00	0.00	0.11	0.00
ASV_398	0.00	0.20	0.00	0.00	0.00
ASV_399	0.07	0.00	0.00	0.00	0.00
ASV_400	0.00	0.07	0.00	0.00	0.00
ASV_401	0.00	0.00	0.00	0.04	0.00
ASV_402	0.00	0.00	0.00	0.04	0.00
ASV_404	0.00	0.00	0.00	0.00	0.04
ASV_405	0.00	0.00	0.00	0.11	0.04
ASV_406	0.00	0.00	0.07	0.00	0.00
ASV_409	0.40	0.00	0.00	0.07	0.00
ASV_410	0.00	0.00	0.00	0.04	0.00
ASV_411	0.00	0.00	0.00	0.11	0.00
ASV_412	0.00	0.00	0.07	0.00	0.00
ASV_413	0.00	0.00	0.00	0.04	0.00
ASV_414	0.00	0.13	0.00	0.00	0.00
ASV_415	0.00	0.00	0.00	0.04	0.00
ASV_416	0.00	0.07	0.20	0.00	0.00
ASV_418	0.73	0.00	0.13	0.00	0.00
ASV_419	0.00	0.00	0.00	0.11	0.04
ASV_420	0.07	0.00	0.00	0.00	0.00
ASV_421	0.00	0.00	0.00	0.00	0.04
ASV_423	0.00	0.00	0.00	0.15	0.44
ASV_424	0.00	0.00	0.00	0.04	0.04
ASV_426	0.00	0.00	0.00	0.04	0.00
ASV_429	0.07	0.00	0.00	0.00	0.00
ASV_430	0.00	0.07	0.00	0.00	0.00
ASV_431	0.00	0.00	0.00	0.04	0.00
ASV_433	0.00	0.33	0.00	0.00	0.00
ASV_435	0.00	0.07	0.00	0.00	0.00
ASV_436	0.07	0.00	0.00	0.00	0.00
ASV_437	0.00	0.00	0.00	0.04	0.00
ASV_438	0.00	0.20	0.00	0.00	0.00
ASV_439	0.00	0.00	0.00	0.04	0.00
ASV_441	0.00	0.00	0.00	0.00	0.04
ASV_443	0.00	0.00	0.00	0.22	0.11
ASV_444	0.20	0.07	0.33	0.00	0.00
ASV_445	0.00	0.00	0.00	0.00	0.11
ASV_446	0.00	0.00	0.00	0.00	0.04
ASV_447	0.07	0.00	0.00	0.00	0.00
ASV_448	0.07	0.00	0.00	0.00	0.00
ASV_449	0.00	0.00	0.00	0.04	0.00
ASV_450	0.00	0.00	0.00	0.15	0.30
ASV_452	0.00	0.00	0.00	0.04	0.00
ASV_454	0.00	0.00	0.00	0.00	0.04
ASV_455	0.07	0.00	0.20	0.00	0.00
ASV_456	0.07	0.00	0.00	0.00	0.00
ASV_457	0.20	0.00	0.33	0.00	0.00
ASV_459	0.00	0.00	0.00	0.04	0.00
ASV_460	0.20	0.00	0.00	0.11	0.04
ASV_462	0.00	0.40	0.00	0.00	0.00
ASV_463	0.00	0.00	0.00	0.07	0.07
ASV_464	0.20	0.00	0.13	0.00	0.00
ASV_465	0.00	0.00	0.00	0.07	0.00
ASV_467	0.00	0.00	0.00	0.04	0.00
ASV_471	0.40	0.20	0.00	0.00	0.00
ASV_473	0.07	0.00	0.00	0.00	0.00
ASV_474	0.00	0.00	0.00	0.04	0.00
ASV_475	0.00	0.00	0.00	0.04	0.00
ASV_476	0.07	0.07	0.00	0.00	0.00
ASV_477	0.00	0.00	0.00	0.44	0.00
ASV_479	0.33	0.00	0.13	0.00	0.00
ASV_480	0.00	0.20	0.00	0.00	0.00
ASV_481	0.00	0.00	0.07	0.00	0.00
ASV_483	0.00	0.00	0.00	0.07	0.00
ASV_484	0.00	0.33	0.20	0.00	0.00
ASV_485	0.00	0.00	0.00	0.11	0.00
ASV_487	0.00	0.00	0.00	0.04	0.04
ASV_488	0.07	0.00	0.00	0.04	0.00
ASV_489	0.00	0.07	0.00	0.04	0.00
ASV_490	0.07	0.00	0.00	0.00	0.00
ASV_494	0.00	0.00	0.00	0.04	0.00
ASV_495	0.07	0.00	0.00	0.00	0.00
ASV_497	0.13	0.00	0.00	0.00	0.00
ASV_498	0.00	0.00	0.00	0.00	0.07
ASV_499	0.00	0.00	0.07	0.00	0.00
ASV_500	0.13	0.00	0.00	0.00	0.00
ASV_501	0.07	0.00	0.07	0.00	0.00
ASV_502	0.13	0.00	0.00	0.00	0.00
ASV_503	0.00	0.33	0.40	0.00	0.00
ASV_505	0.00	0.00	0.00	0.04	0.00
ASV_506	0.00	0.00	0.00	0.00	0.26
ASV_509	0.00	0.00	0.00	0.04	0.00
ASV_510	0.00	0.00	0.00	0.00	0.04
ASV_511	0.07	0.00	0.00	0.44	0.00
ASV_514	0.00	0.07	0.00	0.00	0.00
ASV_515	0.00	0.40	0.53	0.00	0.00
ASV_517	0.00	0.07	0.00	0.00	0.00
ASV_518	0.00	0.00	0.00	0.04	0.00
ASV_520	0.00	0.00	0.00	0.04	0.00
ASV_521	0.07	0.00	0.00	0.00	0.00
ASV_522	0.00	0.00	0.00	0.07	0.11
ASV_523	0.07	0.00	0.00	0.00	0.00
ASV_526	0.00	0.07	0.00	0.00	0.00
ASV_530	0.00	0.00	0.00	0.00	0.15
ASV_532	0.00	0.00	0.07	0.00	0.00
ASV_533	0.00	0.00	0.00	0.04	0.00
ASV_534	0.07	0.00	0.00	0.00	0.00
ASV_535	0.00	0.00	0.00	0.00	0.04
ASV_537	0.00	0.00	0.00	0.04	0.00
ASV_540	0.00	0.07	0.00	0.00	0.00
ASV_542	0.20	0.00	0.20	0.00	0.00
ASV_543	0.00	0.00	0.00	0.04	0.00
ASV_544	0.00	0.00	0.00	0.00	0.04
ASV_547	0.00	0.00	0.00	0.07	0.00
ASV_550	0.00	0.00	0.07	0.00	0.00
ASV_551	0.00	0.00	0.00	0.07	0.00
ASV_553	0.33	0.07	0.00	0.00	0.00
ASV_554	0.00	0.00	0.00	0.00	0.04
ASV_556	0.07	0.00	0.00	0.00	0.00
ASV_558	0.00	0.07	0.07	0.00	0.00
ASV_560	0.00	0.00	0.00	0.04	0.00
ASV_561	0.00	0.00	0.00	0.00	0.04
ASV_565	0.00	0.00	0.00	0.00	0.15
ASV_566	0.00	0.00	0.00	0.07	0.15
ASV_567	0.00	0.07	0.00	0.00	0.00
ASV_568	0.00	0.00	0.00	0.07	0.00
ASV_569	0.00	0.27	0.07	0.00	0.00
ASV_570	0.00	0.00	0.00	0.04	0.00
ASV_572	0.33	0.00	0.00	0.00	0.00
ASV_573	0.00	0.07	0.33	0.00	0.00
ASV_574	0.00	0.07	0.00	0.00	0.00
ASV_575	0.07	0.00	0.00	0.00	0.00
ASV_577	0.13	0.00	0.00	0.30	0.00
ASV_578	0.00	0.00	0.07	0.00	0.00
ASV_579	0.07	0.00	0.00	0.15	0.00
ASV_580	0.00	0.00	0.00	0.04	0.00
ASV_581	0.00	0.07	0.00	0.00	0.00
ASV_582	0.00	0.33	0.00	0.00	0.00
ASV_585	0.00	0.00	0.00	0.11	0.00
ASV_587	0.07	0.00	0.00	0.00	0.00
ASV_588	0.40	0.13	0.40	0.00	0.00
ASV_589	0.00	0.07	0.00	0.00	0.00
ASV_591	0.00	0.00	0.00	0.04	0.00
ASV_592	0.00	0.00	0.00	0.04	0.00
ASV_593	0.00	0.07	0.00	0.00	0.00
ASV_594	0.07	0.00	0.00	0.22	0.33
ASV_595	0.00	0.13	0.00	0.00	0.00
ASV_596	0.00	0.00	0.00	0.00	0.04
ASV_598	0.00	0.00	0.00	0.04	0.00
ASV_599	0.00	0.00	0.00	0.30	0.00
ASV_601	0.40	0.00	0.00	0.11	0.00
ASV_602	0.13	0.00	0.20	0.26	0.07
ASV_603	0.00	0.00	0.00	0.07	0.00
ASV_604	0.07	0.00	0.00	0.00	0.00
ASV_605	0.07	0.00	0.00	0.00	0.00
ASV_606	0.13	0.00	0.07	0.00	0.00
ASV_609	0.13	0.00	0.00	0.00	0.00
ASV_610	0.13	0.00	0.00	0.00	0.00
ASV_612	0.00	0.00	0.00	0.04	0.00
ASV_613	0.00	0.00	0.00	0.00	0.04
ASV_614	0.00	0.00	0.27	0.00	0.00
ASV_615	0.07	0.00	0.00	0.00	0.00
ASV_616	0.00	0.07	0.00	0.00	0.00
ASV_617	0.00	0.00	0.00	0.04	0.00
ASV_618	0.00	0.00	0.07	0.00	0.00
ASV_619	0.00	0.00	0.00	0.04	0.00
ASV_620	0.07	0.07	0.00	0.00	0.00
ASV_621	0.00	0.07	0.00	0.00	0.00
ASV_622	0.13	0.00	0.00	0.00	0.00
ASV_624	0.00	0.00	0.00	0.04	0.00
ASV_627	0.13	0.07	0.07	0.00	0.00
ASV_632	0.00	0.00	0.00	0.00	0.07
ASV_633	0.27	0.00	0.20	0.04	0.00
ASV_634	0.00	0.33	0.00	0.00	0.00
ASV_635	0.07	0.00	0.00	0.00	0.00
ASV_638	0.00	0.53	0.00	0.00	0.00
ASV_639	0.00	0.67	0.00	0.00	0.00
ASV_641	0.00	0.07	0.00	0.00	0.00
ASV_643	0.00	0.00	0.07	0.00	0.00
ASV_645	0.00	0.00	0.00	0.04	0.00
ASV_647	0.13	0.00	0.00	0.00	0.00
ASV_648	0.00	0.07	0.00	0.00	0.00
ASV_649	0.00	0.00	0.00	0.04	0.00
ASV_650	0.07	0.00	0.00	0.04	0.11
ASV_651	0.00	0.00	0.00	0.04	0.00
ASV_653	0.20	0.20	0.20	0.04	0.00
ASV_654	0.00	0.00	0.00	0.04	0.00
ASV_655	0.00	0.00	0.00	0.00	0.07
ASV_657	0.07	0.00	0.00	0.00	0.00
ASV_660	0.13	0.00	0.07	0.00	0.00
ASV_662	0.00	0.00	0.00	0.15	0.19
ASV_664	0.00	0.00	0.00	0.07	0.00
ASV_665	0.00	0.07	0.00	0.00	0.00
ASV_669	0.27	0.00	0.07	0.44	0.00
ASV_670	0.07	0.00	0.00	0.00	0.00
ASV_672	0.00	0.00	0.13	0.00	0.00
ASV_673	0.13	0.00	0.00	0.00	0.00
ASV_674	0.00	0.07	0.00	0.00	0.00
ASV_675	0.00	0.00	0.00	0.07	0.00
ASV_676	0.07	0.00	0.00	0.00	0.00
ASV_678	0.00	0.07	0.00	0.00	0.00
ASV_679	0.00	0.00	0.00	0.00	0.04
ASV_680	0.07	0.00	0.00	0.00	0.00
ASV_682	0.07	0.00	0.00	0.00	0.00
ASV_683	0.00	0.00	0.00	0.22	0.15
ASV_684	0.00	0.00	0.00	0.04	0.00
ASV_685	0.00	0.00	0.00	0.07	0.00
ASV_686	0.00	0.00	0.07	0.00	0.00
ASV_687	0.07	0.00	0.00	0.00	0.00
ASV_688	0.00	0.00	0.00	0.04	0.15
ASV_689	0.00	0.00	0.00	0.15	0.00
ASV_690	0.00	0.07	0.00	0.00	0.00
ASV_691	0.00	0.00	0.00	0.04	0.00
ASV_692	0.00	0.00	0.00	0.04	0.00
ASV_693	0.00	0.00	0.00	0.00	0.04
ASV_694	0.00	0.00	0.00	0.04	0.00
ASV_695	0.00	0.07	0.00	0.00	0.00
ASV_696	0.00	0.07	0.00	0.00	0.00
ASV_697	0.00	0.00	0.00	0.04	0.00
ASV_699	0.07	0.00	0.00	0.00	0.00
ASV_700	0.20	0.00	0.07	0.00	0.00
ASV_701	0.07	0.00	0.00	0.00	0.04
