ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_604	0.0	0.0	0.0	0.7	0.0
ASV_605	0.7	0.0	0.0	0.0	0.0
ASV_606	0.0	0.0	0.0	0.7	0.0
ASV_609	1.3	0.0	0.0	0.0	0.0
ASV_610	1.3	0.0	0.0	0.0	0.0
ASV_615	0.0	0.0	0.0	0.0	0.3
ASV_620	0.7	0.0	0.0	0.0	0.0
ASV_622	0.0	0.7	0.0	0.0	0.0
ASV_627	0.0	1.3	0.3	0.0	0.0
ASV_633	0.0	0.0	0.0	4.7	0.3
ASV_635	0.0	0.0	0.0	1.7	0.0
ASV_647	0.0	0.3	1.0	0.0	0.0
ASV_650	0.0	0.7	0.0	0.0	0.0
ASV_653	0.0	0.0	0.0	66.0	0.0
ASV_657	0.3	0.0	0.0	0.0	0.0
ASV_660	2.0	0.0	0.0	0.0	0.0
ASV_669	0.0	0.0	0.0	2.3	0.3
ASV_670	0.0	0.0	0.0	0.3	0.0
ASV_673	0.0	0.0	0.0	0.0	0.7
ASV_676	0.0	0.3	0.0	0.0	0.0
ASV_680	0.0	0.0	0.0	0.0	0.3
ASV_682	0.0	0.3	0.0	0.0	0.0
ASV_687	0.0	0.0	0.0	0.3	0.0
ASV_699	0.3	0.0	0.0	0.0	0.0
ASV_700	0.0	0.0	0.0	3.0	0.0
ASV_701	0.0	0.0	0.3	0.0	0.0
ASV_703	0.0	1.7	1.7	0.0	0.0
ASV_704	0.0	0.0	0.0	0.0	1.0
ASV_708	9.7	7.3	6.3	1.0	0.0
ASV_714	0.0	2.0	0.0	0.0	0.0
ASV_716	1.0	0.7	0.3	0.0	0.0
ASV_724	0.0	0.0	0.0	0.0	0.3
ASV_729	0.0	0.0	0.0	3.0	0.7
ASV_731	0.0	0.0	0.0	4.0	1.0
ASV_733	0.0	0.0	0.0	0.3	0.0
ASV_741	0.0	0.0	0.0	0.7	0.0
ASV_742	0.7	0.0	0.0	0.0	0.0
ASV_746	0.0	0.0	0.0	0.0	1.0
ASV_753	0.0	0.3	0.0	0.0	0.0
ASV_754	0.0	0.0	0.0	0.3	0.0
ASV_756	0.0	0.0	0.0	1.0	0.0
ASV_760	0.0	0.0	0.0	2.3	0.0
ASV_763	0.0	5.7	4.0	0.3	0.0
ASV_766	0.0	0.0	0.0	0.3	0.0
ASV_767	2.3	0.0	0.3	0.0	0.0
ASV_769	0.0	0.0	0.0	0.3	0.0
ASV_772	0.0	1.3	0.0	0.0	0.0
ASV_776	0.7	0.0	0.0	0.0	0.0
ASV_778	0.0	0.0	0.0	0.0	0.3
ASV_782	0.0	2.3	4.0	0.0	0.0
ASV_783	0.7	0.0	0.0	0.0	0.0
ASV_785	0.0	0.0	0.0	1.7	0.0
ASV_810	1.0	0.7	0.3	0.0	0.0
ASV_815	0.0	0.0	0.0	0.0	0.3
ASV_818	0.7	0.3	0.0	0.0	0.0
ASV_826	0.3	0.0	0.0	0.0	0.0
ASV_845	0.0	0.3	0.0	0.0	0.0
ASV_846	0.0	0.3	0.0	0.0	0.0
ASV_853	0.0	0.0	0.0	0.0	0.3
ASV_858	0.0	0.0	0.0	0.0	0.3
ASV_862	0.0	0.0	0.3	0.0	0.0
ASV_864	0.3	0.0	0.0	0.0	0.0
ASV_867	0.7	0.0	0.0	0.0	0.0
ASV_879	0.0	0.0	1.3	0.3	0.0
ASV_887	0.0	0.0	0.0	0.0	0.3
ASV_889	6.7	0.0	0.0	0.0	0.0
ASV_893	0.0	0.0	0.0	0.0	0.3
ASV_896	14.0	17.7	0.0	0.0	0.0
ASV_907	0.0	0.0	0.0	0.7	0.3
ASV_916	0.0	0.0	0.0	0.0	0.7
ASV_918	0.7	1.3	0.0	0.0	0.0
ASV_921	0.0	0.3	0.0	0.0	0.0
ASV_930	0.0	0.0	0.0	1.7	0.0
ASV_931	0.0	0.0	0.0	1.3	0.0
ASV_932	0.0	0.0	0.0	0.0	0.3
ASV_943	0.0	0.0	0.0	0.7	0.0
ASV_949	0.0	0.3	0.0	0.0	0.0
ASV_950	0.0	0.0	0.0	0.0	0.7
ASV_954	0.0	0.3	0.7	0.0	0.0
ASV_956	0.0	0.0	0.0	9.3	0.0
ASV_957	0.0	0.0	0.3	0.0	0.0
ASV_962	0.0	0.0	0.7	0.0	0.0
ASV_966	3.3	0.0	0.0	0.0	0.0
ASV_967	0.0	0.0	0.0	0.7	0.7
ASV_968	0.0	0.0	1.0	0.0	0.0
ASV_975	0.0	0.7	0.0	0.0	0.0
ASV_977	20.0	14.7	1.0	0.0	0.0
ASV_978	0.0	0.0	0.0	0.0	0.3
ASV_981	0.0	0.0	0.7	0.0	0.0
ASV_985	0.0	0.0	0.0	0.3	0.3
ASV_992	0.0	0.0	0.0	5.3	0.0
ASV_1011	0.0	0.3	0.0	0.0	0.0
ASV_1014	12.3	8.3	3.3	0.0	0.0
ASV_1019	1.0	0.0	1.7	0.0	0.0
ASV_1023	0.0	0.0	0.0	1.3	1.0
ASV_1031	0.0	0.0	0.0	0.0	0.3
ASV_1035	1.0	0.0	0.0	0.0	0.0
ASV_1037	0.0	0.0	0.0	0.7	0.0
ASV_1038	0.0	0.3	0.0	0.0	0.0
ASV_1041	0.0	0.0	0.0	0.7	0.0
ASV_1042	1.3	1.0	0.0	0.0	0.0
ASV_1049	0.0	0.0	0.0	1.7	0.0
ASV_1051	0.0	0.0	0.0	0.0	0.3
ASV_1054	0.0	0.0	0.0	0.7	0.0
ASV_1068	0.0	0.0	0.0	1.0	0.0
ASV_1077	0.0	0.0	0.0	0.3	0.0
ASV_1080	0.3	0.0	0.0	0.0	0.0
ASV_1081	0.0	2.7	0.0	0.0	0.0
ASV_1083	0.0	0.3	0.0	0.0	0.0
ASV_1091	0.0	0.0	0.3	0.0	0.0
ASV_1094	2.3	2.3	3.0	0.0	0.0
ASV_1096	0.0	0.0	0.0	0.0	0.3
ASV_1101	0.0	0.0	0.0	2.7	1.0
ASV_1112	0.0	0.0	0.0	0.0	1.0
ASV_1121	0.0	0.0	0.0	0.0	0.3
ASV_1126	4.3	7.3	1.3	0.0	0.0
ASV_1131	0.0	0.0	0.0	0.0	0.3
ASV_1134	1.0	0.0	0.0	0.0	0.0
ASV_1138	0.0	0.3	0.0	0.0	0.0
ASV_1141	1.0	0.0	0.0	0.0	0.0
ASV_1147	0.0	0.0	0.0	0.3	0.0
ASV_1150	0.0	0.0	0.0	2.3	0.0
ASV_1151	0.0	0.7	0.0	0.0	0.0
ASV_1153	0.0	0.0	0.3	0.0	0.0
ASV_1157	0.0	0.0	0.0	0.0	0.3
ASV_1165	12.0	26.0	0.0	0.0	0.0
ASV_1166	0.0	0.7	0.7	0.0	0.0
ASV_1168	0.0	0.0	0.0	0.3	0.0
ASV_1176	0.0	0.0	0.0	0.0	0.3
ASV_1181	0.0	0.0	0.0	0.0	0.3
ASV_1185	5.7	3.0	1.0	0.0	0.0
ASV_1192	1.7	0.7	0.0	0.0	0.0
ASV_1204	2.0	1.7	2.0	0.0	0.0
ASV_1206	0.0	0.0	0.0	0.7	0.0
ASV_1214	0.3	0.3	0.0	0.0	0.0
ASV_1227	0.7	0.0	0.0	0.0	0.0
ASV_1232	0.0	0.0	0.0	0.7	0.0
ASV_1234	0.7	0.0	0.0	0.0	0.0
ASV_1235	0.0	0.0	0.0	0.0	0.3
ASV_1238	0.0	1.3	0.0	0.0	0.0
ASV_1243	0.7	2.3	0.3	0.0	0.0
ASV_1245	0.0	0.7	0.0	0.0	0.0
ASV_1249	0.0	0.0	0.0	1.0	0.7
ASV_1251	3.0	0.0	0.0	0.0	0.0
ASV_1254	1.3	0.3	0.0	0.0	0.0
ASV_1258	0.0	0.3	0.0	0.0	0.0
ASV_1260	0.3	0.0	0.0	0.0	0.0
ASV_1270	0.0	0.0	0.0	0.3	0.0
ASV_1276	4.0	5.0	9.7	1.3	0.0
ASV_1280	0.0	0.0	0.0	0.3	0.0
ASV_1284	0.0	0.0	0.0	8.7	0.3
ASV_1285	0.0	0.0	0.0	0.0	0.7
ASV_1291	0.0	0.0	0.0	0.3	0.0
ASV_1298	0.0	1.3	0.0	0.0	0.0
ASV_1299	0.3	1.0	0.0	0.0	0.0
ASV_1306	5.3	1.0	0.0	0.0	0.0
ASV_1311	0.0	1.0	0.0	0.0	0.0
ASV_1318	0.0	0.0	0.0	18.7	0.3
ASV_1324	0.0	0.0	0.0	1.7	0.0
ASV_1326	0.3	0.0	0.0	0.0	0.0
ASV_1328	0.3	0.0	0.0	0.0	0.0
ASV_1335	0.0	0.0	0.0	0.0	0.3
ASV_1336	0.0	0.7	0.0	0.0	0.0
ASV_1341	0.0	0.0	0.0	7.7	0.0
ASV_1349	0.0	0.0	0.0	8.7	0.0
ASV_1352	0.0	0.0	0.0	0.3	0.0
ASV_1360	0.7	0.0	0.0	0.0	0.0
ASV_1364	0.0	0.0	0.0	0.0	0.7
ASV_1371	0.0	0.0	0.7	0.0	0.0
ASV_1376	0.0	0.0	0.0	30.7	0.0
ASV_1379	0.0	0.0	0.0	0.0	0.3
ASV_1382	1.7	0.0	0.0	0.0	0.0
ASV_1384	0.0	0.0	0.0	0.0	0.3
ASV_1391	1.0	0.0	0.0	0.0	0.0
ASV_1393	0.0	0.0	0.0	0.0	0.3
ASV_1404	0.7	0.3	0.0	0.0	0.0
ASV_1406	0.3	0.0	0.0	0.0	0.0
ASV_1417	0.0	1.0	0.0	0.0	0.0
ASV_1419	5.0	12.0	7.0	0.0	0.0
ASV_1421	15.0	26.7	4.3	0.0	0.0
ASV_1428	0.0	0.0	0.0	0.7	0.0
ASV_1432	0.0	0.3	0.0	0.0	0.0
ASV_1434	0.0	0.0	0.0	0.7	0.0
ASV_1439	0.0	0.0	0.0	3.0	0.0
ASV_1445	0.3	0.0	0.0	0.0	0.0
ASV_1446	0.0	0.0	0.0	0.0	0.3
ASV_1448	2.7	0.0	0.0	0.0	0.0
ASV_1450	0.0	0.0	0.0	0.3	0.0
ASV_1459	0.0	0.0	3.3	0.0	0.0
ASV_1462	0.0	0.0	0.0	0.0	0.3
ASV_1466	0.0	0.0	0.0	1.0	0.0
ASV_1467	1.3	0.0	0.0	0.0	0.0
ASV_1468	0.0	0.0	0.0	0.0	0.7
ASV_1476	0.0	0.0	0.3	0.0	0.0
ASV_1477	0.0	0.0	0.0	0.0	1.0
ASV_1488	0.0	1.3	1.7	0.0	0.0
ASV_1489	0.0	0.0	0.0	0.0	0.3
ASV_1495	0.0	0.0	0.7	0.0	0.0
