ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_07	20.2	24.0	0.0	0.0	0.0
ASV_16	0.2	0.2	0.0	0.0	0.0
ASV_17	0.0	0.0	0.0	5.3	0.0
ASV_22	0.0	0.2	0.0	0.0	0.0
ASV_31	3.7	16.7	0.0	0.0	0.0
ASV_33	1.0	1.0	0.0	0.0	0.0
ASV_37	0.0	0.0	0.5	0.0	0.0
ASV_43	0.3	0.0	0.7	0.0	0.0
ASV_51	0.0	0.0	0.2	0.0	0.0
ASV_55	0.0	0.3	0.0	0.0	0.0
ASV_59	0.0	0.2	0.0	0.0	0.0
ASV_60	1.2	0.0	0.0	0.0	0.0
ASV_63	1.8	1.0	0.0	0.0	0.0
ASV_64	0.0	0.0	0.2	0.0	0.0
ASV_69	0.0	0.0	0.0	2.3	0.0
ASV_80	0.0	0.0	0.2	0.0	0.0
ASV_84	0.0	0.0	0.0	0.0	0.0
ASV_85	0.0	0.0	0.0	0.7	0.0
ASV_87	0.0	0.0	0.0	0.2	0.0
ASV_90	0.0	0.0	0.7	0.0	0.0
ASV_91	0.0	0.0	0.0	0.3	0.0
ASV_92	0.5	0.0	0.0	0.0	0.0
ASV_93	0.0	0.0	0.0	0.3	0.0
ASV_100	0.0	0.0	0.0	0.3	1.0
ASV_101	0.0	0.0	0.0	0.0	0.0
ASV_104	0.0	0.0	0.0	0.5	0.0
ASV_111	0.0	5.7	0.0	0.0	0.0
ASV_113	0.0	1.2	0.0	0.0	0.0
ASV_115	2.0	9.2	4.5	0.0	0.0
ASV_116	0.0	0.0	0.0	0.7	0.0
ASV_120	0.0	0.0	0.0	0.2	0.0
ASV_124	0.2	0.2	0.0	0.0	0.0
ASV_126	0.0	0.0	0.0	2.3	0.0
ASV_127	0.0	0.0	0.0	0.0	1.0
ASV_131	0.0	0.0	0.0	0.7	0.0
ASV_134	0.2	0.5	0.2	0.0	0.0
ASV_136	0.7	0.0	0.0	0.0	0.0
ASV_140	0.5	0.0	0.0	0.0	0.0
ASV_152	0.0	0.0	0.0	7.7	0.0
ASV_157	0.0	0.0	0.0	0.0	1.0
ASV_162	0.0	0.0	0.0	0.0	1.0
ASV_167	6.0	0.0	0.0	0.0	0.0
ASV_171	0.7	0.7	0.0	0.0	0.0
ASV_175	0.0	0.0	0.0	0.2	0.0
ASV_176	0.0	0.2	0.0	0.0	0.0
ASV_178	0.0	0.0	0.3	0.0	0.0
ASV_179	0.5	0.0	0.0	0.0	0.0
ASV_181	0.0	0.0	0.0	0.2	0.0
ASV_188	0.0	0.3	0.0	0.0	0.0
ASV_189	0.0	0.0	1.3	0.0	0.0
ASV_194	0.5	0.0	1.0	0.0	0.0
ASV_197	0.0	0.0	0.2	0.0	0.0
ASV_216	0.0	0.0	0.0	0.0	3.0
ASV_219	0.0	0.7	0.3	0.0	0.0
ASV_220	0.0	0.0	0.0	0.3	0.0
ASV_222	0.0	0.0	0.0	0.2	0.0
ASV_225	0.0	0.0	0.0	0.0	1.0
ASV_229	0.0	0.0	0.2	0.0	0.0
ASV_233	5.8	10.7	0.0	0.0	0.0
ASV_234	0.0	0.0	0.0	0.0	0.0
ASV_235	4.7	0.0	0.0	0.0	0.0
ASV_237	0.0	0.0	0.0	0.0	1.0
ASV_244	0.0	0.5	0.0	0.0	0.0
ASV_246	0.0	0.0	0.0	1.3	0.0
ASV_247	0.0	0.0	0.3	0.0	0.0
ASV_258	0.0	0.0	0.0	12.0	0.0
ASV_259	0.0	0.0	0.0	0.0	0.0
ASV_261	0.0	0.0	0.0	0.0	1.0
ASV_266	0.0	0.0	0.0	0.5	0.0
ASV_267	0.0	0.0	0.0	0.0	1.0
ASV_270	0.0	0.0	0.0	0.0	1.0
ASV_271	0.3	0.5	0.0	0.0	0.0
