sample_id	site	date	site_x_cage	day_of_year	site_x_date	week	week_number	cage	cage_x_type	substrate	type
W43	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_3	water	water_3
W44	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_3	water	water_3
W45	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_3	water	water_3
W46	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_0_2	water	water_0_2
W47	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_0_2	water	water_0_2
W48	d_helgoland	03_09_2018	d_helgoland	246	hel_03_09_2018	week_36	36	transfer	transfer_water_0_2	water	water_0_2
W49	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_3	water	water_3
W50	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_3	water	water_3
W51	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_3	water	water_3
W52	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_0_2	water	water_0_2
W53	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_0_2	water	water_0_2
W54	d_helgoland	26_09_2018	d_helgoland	269	hel_26_09_2018	week_39	39	transfer	transfer_water_0_2	water	water_0_2
