ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_751	5.7	1.3	0.0	0.0	0.0
ASV_797	0.3	0.7	1.7	0.0	0.0
ASV_802	0.0	0.0	0.0	0.3	0.0
ASV_805	60.3	67.0	0.0	0.0	0.0
ASV_811	0.0	0.0	1.0	0.0	0.0
ASV_812	4.0	0.0	0.0	0.0	0.0
ASV_814	0.0	0.0	0.0	0.3	0.0
ASV_827	0.0	0.0	0.0	2.0	0.0
ASV_841	0.0	0.0	0.0	0.0	2.0
ASV_848	0.0	0.0	0.7	0.3	0.0
ASV_852	0.0	0.0	0.0	0.0	4.0
ASV_855	0.0	0.0	0.0	0.3	0.0
ASV_857	3.7	0.0	0.0	0.0	0.0
ASV_871	0.0	0.0	1.3	0.0	0.0
ASV_878	2.0	0.0	0.0	0.0	0.0
ASV_884	0.0	0.0	0.0	1.0	0.0
ASV_886	0.0	0.0	0.0	0.0	13.3
ASV_903	0.0	0.0	0.0	0.3	0.0
ASV_910	0.0	0.0	0.0	0.0	0.7
ASV_923	0.0	0.0	0.3	0.0	0.0
ASV_924	0.0	1.0	0.0	0.0	0.0
ASV_931	0.0	0.0	0.0	0.7	0.0
ASV_939	0.0	0.0	0.0	1.0	0.0
ASV_940	0.3	0.0	1.0	0.0	0.0
ASV_944	0.0	0.0	0.0	0.3	0.0
ASV_976	0.0	0.0	0.0	0.3	62.0
ASV_981	0.0	0.0	0.3	0.0	0.0
ASV_982	0.0	0.3	0.0	0.0	0.0
ASV_993	0.0	0.0	0.0	2.7	0.0
ASV_994	0.0	0.3	0.0	0.0	0.0
ASV_995	0.0	1.7	0.0	0.0	0.0
ASV_998	0.0	0.0	0.0	0.7	0.0
ASV_1014	0.3	0.0	0.0	0.0	0.0
ASV_1048	0.0	0.0	0.0	1.0	0.0
ASV_1053	0.3	0.0	0.0	0.0	0.0
ASV_1069	0.0	0.0	0.0	1.0	0.0
ASV_1079	0.0	0.0	0.0	1.3	0.0
ASV_1082	0.3	2.3	1.0	0.0	0.0
ASV_1084	0.0	0.0	0.3	1.3	0.0
ASV_1085	0.0	0.0	0.0	0.7	0.0
ASV_1091	3.0	0.0	0.0	0.0	0.0
ASV_1092	0.7	4.0	0.0	0.0	0.0
ASV_1095	0.0	0.3	0.0	0.0	0.0
ASV_1101	0.0	0.0	0.0	0.3	2.7
ASV_1113	0.0	0.0	1.3	0.0	0.0
ASV_1148	4.3	6.0	5.3	0.7	0.0
ASV_1161	0.0	0.3	0.0	0.0	0.0
ASV_1166	0.3	0.0	0.0	0.0	0.0
ASV_1169	0.0	0.0	0.0	0.0	10.3
ASV_1177	0.0	0.0	0.0	0.0	21.3
ASV_1178	0.0	0.0	0.0	0.0	1.3
ASV_1191	0.0	0.0	0.0	0.0	1.3
ASV_1192	0.0	1.3	0.0	0.0	0.0
ASV_1198	0.3	0.0	0.0	0.0	0.0
ASV_1206	0.0	0.0	0.0	0.3	0.0
ASV_1211	0.0	0.0	0.0	0.0	1.7
ASV_1216	0.0	0.0	0.0	6.7	0.0
ASV_1217	0.0	0.0	0.0	0.0	17.7
ASV_1223	0.0	0.0	0.0	0.3	428.0
ASV_1234	2.3	4.0	0.0	0.0	0.0
ASV_1247	0.0	0.0	0.0	0.0	2.0
ASV_1252	0.0	0.0	0.0	0.0	1.0
ASV_1261	0.0	0.0	0.0	0.7	0.0
ASV_1273	0.0	0.0	0.0	0.3	0.0
ASV_1275	0.0	0.0	0.3	0.0	0.0
ASV_1279	0.0	0.0	0.0	0.0	2.7
ASV_1291	0.0	0.0	0.0	3.0	0.0
ASV_1296	0.0	0.0	0.7	0.0	0.0
ASV_1297	0.0	0.0	0.0	0.3	0.0
ASV_1306	2.0	0.3	0.0	0.0	0.0
ASV_1309	0.0	0.0	0.3	0.0	0.0
ASV_1318	0.0	0.0	0.0	0.7	0.0
ASV_1319	0.0	3.0	0.0	0.0	0.0
ASV_1343	0.0	0.0	0.0	2.0	0.0
ASV_1345	0.0	0.0	0.0	2.7	0.0
ASV_1350	0.0	0.0	0.0	1.0	1.0
ASV_1353	0.0	0.0	0.0	0.0	0.3
ASV_1358	0.0	0.0	0.0	0.3	0.0
ASV_1362	3.3	0.0	3.7	0.0	0.0
ASV_1368	0.0	0.0	0.0	0.7	0.0
ASV_1370	0.0	0.0	0.0	3.3	31.3
ASV_1376	0.0	0.0	0.0	2.3	0.0
ASV_1416	0.0	0.0	1.3	0.0	0.0
ASV_1419	0.7	0.0	0.0	0.0	0.0
ASV_1422	5.3	11.3	0.0	0.0	0.0
ASV_1423	0.0	0.0	0.0	2.3	0.0
ASV_1427	0.0	2.7	0.0	0.0	0.0
ASV_1429	1.0	0.0	0.0	0.0	0.0
ASV_1440	0.0	0.0	0.0	3.0	0.0
ASV_1441	12.7	9.3	1.7	0.0	0.0
ASV_1448	0.7	0.0	0.0	0.0	0.0
ASV_1461	0.0	1.7	0.0	0.0	0.0
ASV_1482	0.0	0.0	0.0	0.7	0.0
ASV_1494	0.0	0.0	1.0	0.0	0.0
ASV_1500	1.3	1.3	0.3	0.0	0.0
ASV_1501	14.0	8.3	0.0	0.0	0.0
ASV_1515	0.0	0.0	0.0	0.0	1.0
ASV_1521	0.0	0.0	0.0	0.0	0.7
ASV_1540	0.0	0.0	0.3	0.0	0.0
ASV_1542	0.0	0.0	0.0	2.3	0.0
ASV_1554	1.0	0.0	0.0	0.0	0.0
ASV_1556	0.0	0.0	0.0	0.0	0.7
ASV_1560	3.0	8.3	7.7	0.0	0.0
ASV_1564	1.7	0.0	0.0	0.0	0.0
ASV_1568	6.7	4.7	0.0	0.0	0.0
ASV_1579	0.0	0.0	0.0	1.0	0.0
ASV_1580	0.0	0.0	0.0	0.0	0.3
ASV_1581	1.3	0.0	0.0	0.0	0.0
ASV_1587	6.0	17.3	0.0	0.0	0.0
ASV_1594	0.0	0.0	0.0	12.0	0.0
ASV_1603	0.0	0.0	0.0	0.0	25.7
ASV_1619	0.0	0.3	0.0	0.0	0.0
ASV_1622	0.3	0.0	0.0	0.0	0.0
ASV_1628	0.0	0.0	0.0	0.3	0.0
ASV_1634	0.0	0.0	0.3	0.0	0.0
